Bairro;Data;Acidentes de Trânsito
Aviação;01.03.2017;11
Tupi;01.03.2017;15
Ocian;01.03.2017;10
Mirim;01.03.2017;12
Maracanã;01.03.2017;0
Caiçara;01.03.2017;5
Real ;01.03.2017;2
Flórida;01.03.2017;2
Solemar;01.03.2017;4
Cidade da Criança;01.03.2017;0
Princesa;01.03.2017;0
Imperador;01.03.2017;0
Melvi;01.03.2017;3
Samambaia;01.03.2017;1
Esmeralda;01.03.2017;5
Ribeirópolis;01.03.2017;5
Andaraguá;01.03.2017;0
Nova Mirim;01.03.2017;8
Anhanguera;01.03.2017;4
Quietude;01.03.2017;6
Santa Marina;01.03.2017;0
Tupiry;01.03.2017;2
Antártica;01.03.2017;5
Vila Sônia;01.03.2017;5
Glória;01.03.2017;4
Sítio do Campo;01.03.2017;6
Xixová;01.03.2017;6
Serra do Mar;01.03.2017;0
Não Informado;01.03.2017;0
Militar;01.03.2018;0
Canto do Forte;01.03.2018;6
Boqueirão;01.03.2018;13
Guilhermina;01.03.2018;12
Aviação;01.03.2018;4
Tupi;01.03.2018;12
Ocian;01.03.2018;10
Mirim;01.03.2018;3
Maracanã;01.03.2018;1
Caiçara;01.03.2018;2
Real ;01.03.2018;1
Flórida;01.03.2018;0
Solemar;01.03.2018;0
Cidade da Criança;01.03.2018;0
Princesa;01.03.2018;0
Imperador;01.03.2018;0
Melvi;01.03.2018;2
Samambaia;01.03.2018;4
Esmeralda;01.03.2018;2
Ribeirópolis;01.03.2018;0
Andaraguá;01.03.2018;0
Nova Mirim;01.03.2018;2
Anhanguera;01.03.2018;2
Quietude;01.03.2018;2
Santa Marina;01.03.2018;0
Tupiry;01.03.2018;1
Antártica;01.03.2018;2
Vila Sônia;01.03.2018;3
Glória;01.03.2018;1
Sítio do Campo;01.03.2018;8
Xixová;01.03.2018;4
Serra do Mar;01.03.2018;0
Não Informado;01.03.2018;0
Militar;01.03.2019;0
Canto do Forte;01.03.2019;6
Boqueirão;01.03.2019;10
Guilhermina;01.03.2019;12
Aviação;01.03.2019;10
Tupi;01.03.2019;3
Ocian;01.03.2019;6
Mirim;01.03.2019;5
Maracanã;01.03.2019;2
Caiçara;01.03.2019;8
Real ;01.03.2019;2
Flórida;01.03.2019;0
Solemar;01.03.2019;2
Cidade da Criança;01.03.2019;1
Princesa;01.03.2019;0
Imperador;01.03.2019;0
Melvi;01.03.2019;1
Samambaia;01.03.2019;3
Esmeralda;01.03.2019;0
Ribeirópolis;01.03.2019;2
Andaraguá;01.03.2019;0
Nova Mirim;01.03.2019;2
Anhanguera;01.03.2019;2
Quietude;01.03.2019;2
Santa Marina;01.03.2019;0
Tupiry;01.03.2019;1
Antártica;01.03.2019;4
Vila Sônia;01.03.2019;4
Glória;01.03.2019;3
Sítio do Campo;01.03.2019;6
Xixová;01.03.2019;6
Serra do Mar;01.03.2019;0
Não Informado;01.03.2019;0
Militar;01.03.2020;0
Canto do Forte;01.03.2020;9
Boqueirão;01.03.2020;2
Guilhermina;01.03.2020;8
Aviação;01.03.2020;3
Tupi;01.03.2020;2
Ocian;01.03.2020;0
Mirim;01.03.2020;3
Maracanã;01.03.2020;0
Caiçara;01.03.2020;0
Real ;01.03.2020;0
Flórida;01.03.2020;0
Solemar;01.03.2020;1
Cidade da Criança;01.03.2020;1
Princesa;01.03.2020;0
Imperador;01.03.2020;0
Melvi;01.03.2020;0
Samambaia;01.03.2020;3
Esmeralda;01.03.2020;0
Ribeirópolis;01.03.2020;3
Andaraguá;01.03.2020;0
Nova Mirim;01.03.2020;6
Anhanguera;01.03.2020;0
Quietude;01.03.2020;0
Santa Marina;01.03.2020;0
Tupiry;01.03.2020;1
Antártica;01.03.2020;2
Vila Sônia;01.03.2020;0
Glória;01.03.2020;0
Sítio do Campo;01.03.2020;3
Xixová;01.03.2020;3
Serra do Mar;01.03.2020;0
Não Informado;01.03.2020;5
Militar;01.03.2021;0
Canto do Forte;01.03.2021;3
Boqueirão;01.03.2021;5
Guilhermina;01.03.2021;7
Aviação;01.03.2021;4
Tupi;01.03.2021;2
Ocian;01.03.2021;2
Mirim;01.03.2021;2
Maracanã;01.03.2021;4
Caiçara;01.03.2021;4
Real ;01.03.2021;0
Flórida;01.03.2021;1
Solemar;01.03.2021;2
Cidade da Criança;01.03.2021;1
Princesa;01.03.2021;0
Imperador;01.03.2021;0
Melvi;01.03.2021;0
Samambaia;01.03.2021;3
Esmeralda;01.03.2021;1
Ribeirópolis;01.03.2021;2
Andaraguá;01.03.2021;0
